iter	Passed	Remaining
0	164	164169
1	188	93959
2	211	70186
3	234	58329
4	258	51451
5	280	46391
6	304	43142
7	327	40622
8	351	38694
9	373	36989
10	398	35836
11	419	34555
12	443	33684
13	466	32823
14	490	32221
15	513	31595
16	538	31147
17	562	30663
18	584	30167
19	606	29699
20	630	29392
21	652	28999
22	675	28704
23	699	28442
24	721	28126
25	742	27822
26	766	27610
27	786	27303
28	810	27130
29	833	26936
30	854	26703
31	874	26457
32	897	26301
33	920	26141
34	943	26014
35	965	25850
36	988	25732
37	1012	25644
38	1036	25544
39	1061	25464
40	1084	25372
41	1109	25300
42	1132	25214
43	1153	25069
44	1177	24984
45	1197	24837
46	1219	24730
47	1241	24626
48	1263	24520
49	1284	24409
50	1306	24310
51	1328	24225
52	1350	24127
53	1370	24015
54	1393	23946
55	1419	23931
56	1443	23878
57	1468	23850
58	1493	23814
59	1515	23745
60	1537	23666
61	1558	23582
62	1582	23535
63	1603	23458
64	1625	23382
65	1646	23303
66	1669	23254
67	1691	23188
68	1713	23119
69	1734	23044
70	1757	22995
71	1780	22949
72	1801	22882
73	1823	22816
74	1846	22767
75	1866	22687
76	1887	22628
77	1910	22584
78	1931	22522
79	1951	22444
80	1975	22417
81	2001	22405
82	2027	22400
83	2049	22350
84	2071	22304
85	2093	22245
86	2117	22220
87	2141	22198
88	2169	22202
89	2192	22167
90	2216	22135
91	2238	22095
92	2262	22060
93	2284	22020
94	2309	21996
95	2329	21940
96	2354	21917
97	2376	21874
98	2402	21866
99	2428	21857
100	2454	21848
101	2482	21851
102	2510	21867
103	2540	21884
104	2569	21901
105	2594	21884
106	2623	21891
107	2646	21861
108	2674	21859
109	2705	21888
110	2732	21882
111	2754	21840
112	2782	21837
113	2805	21802
114	2830	21784
115	2851	21726
116	2872	21678
117	2893	21627
118	2917	21596
119	2937	21543
120	2960	21504
121	2981	21460
122	3004	21420
123	3026	21378
124	3047	21335
125	3069	21292
126	3092	21254
127	3112	21203
128	3138	21187
129	3159	21142
130	3184	21122
131	3209	21105
132	3234	21087
133	3256	21044
134	3281	21023
135	3304	20993
136	3328	20965
137	3349	20920
138	3370	20880
139	3391	20830
140	3412	20791
141	3432	20740
142	3455	20710
143	3477	20670
144	3498	20631
145	3519	20585
146	3540	20546
147	3561	20505
148	3587	20489
149	3610	20461
150	3632	20425
151	3653	20384
152	3676	20354
153	3700	20330
154	3723	20300
155	3744	20260
156	3766	20222
157	3788	20187
158	3809	20149
159	3829	20105
160	3854	20088
161	3878	20065
162	3900	20028
163	3921	19991
164	3943	19956
165	3963	19914
166	3985	19881
167	4008	19852
168	4032	19829
169	4053	19788
170	4080	19780
171	4101	19743
172	4123	19710
173	4143	19671
174	4167	19647
175	4189	19615
176	4212	19586
177	4235	19558
178	4257	19527
179	4277	19487
180	4298	19451
181	4319	19415
182	4340	19379
183	4360	19339
184	4384	19315
185	4405	19281
186	4430	19262
187	4453	19233
188	4478	19216
189	4498	19179
190	4521	19150
191	4542	19115
192	4563	19082
193	4585	19050
194	4607	19020
195	4630	18995
196	4653	18968
197	4673	18930
198	4695	18900
199	4716	18865
200	4738	18835
201	4760	18807
202	4782	18775
203	4804	18746
204	4826	18716
205	4846	18681
206	4868	18649
207	4890	18621
208	4912	18591
209	4933	18557
210	4955	18530
211	4981	18517
212	5004	18492
213	5029	18472
214	5053	18449
215	5075	18423
216	5100	18402
217	5122	18375
218	5144	18347
219	5168	18324
220	5190	18295
221	5210	18259
222	5232	18232
223	5253	18200
224	5275	18170
225	5295	18136
226	5317	18107
227	5337	18072
228	5362	18053
229	5382	18020
230	5404	17991
231	5424	17958
232	5446	17930
233	5467	17898
234	5489	17869
235	5511	17840
236	5533	17815
237	5558	17795
238	5582	17773
239	5608	17761
240	5633	17743
241	5654	17710
242	5676	17682
243	5697	17651
244	5722	17635
245	5743	17603
246	5765	17575
247	5787	17549
248	5812	17531
249	5834	17502
250	5860	17489
251	5882	17459
252	5906	17437
253	5926	17406
254	5948	17378
255	5968	17347
256	5992	17323
257	6015	17301
258	6037	17274
259	6069	17273
260	6103	17281
261	6140	17295
262	6163	17271
263	6183	17238
264	6206	17214
265	6227	17183
266	6249	17156
267	6269	17124
268	6291	17097
269	6315	17075
270	6339	17052
271	6359	17021
272	6382	16996
273	6404	16968
274	6430	16954
275	6451	16924
276	6476	16904
277	6498	16876
278	6522	16855
279	6542	16823
280	6566	16801
281	6590	16778
282	6613	16755
283	6636	16730
284	6661	16712
285	6683	16684
286	6705	16658
287	6727	16631
288	6750	16607
289	6771	16578
290	6794	16555
291	6816	16526
292	6840	16505
293	6863	16480
294	6886	16458
295	6907	16427
296	6930	16404
297	6950	16374
298	6972	16346
299	6992	16316
300	7017	16295
301	7037	16266
302	7064	16251
303	7087	16225
304	7111	16205
305	7132	16175
306	7154	16149
307	7175	16120
308	7196	16093
309	7217	16063
310	7242	16044
311	7263	16016
312	7285	15990
313	7306	15961
314	7328	15935
315	7349	15907
316	7370	15881
317	7393	15855
318	7415	15831
319	7437	15804
320	7458	15777
321	7479	15748
322	7502	15726
323	7523	15696
324	7547	15675
325	7571	15654
326	7596	15634
327	7620	15612
328	7644	15590
329	7666	15564
330	7690	15543
331	7711	15516
332	7733	15489
333	7753	15459
334	7774	15433
335	7795	15405
336	7818	15380
337	7838	15352
338	7861	15329
339	7881	15300
340	7903	15273
341	7923	15244
342	7945	15219
343	7965	15190
344	7990	15170
345	8010	15141
346	8031	15114
347	8051	15085
348	8074	15062
349	8097	15038
350	8119	15013
351	8142	14988
352	8166	14968
353	8187	14941
354	8209	14916
355	8232	14893
356	8258	14873
357	8282	14852
358	8306	14832
359	8331	14812
360	8353	14786
361	8374	14758
362	8396	14735
363	8419	14710
364	8442	14687
365	8466	14666
366	8489	14643
367	8511	14617
368	8533	14593
369	8558	14572
370	8580	14547
371	8600	14519
372	8622	14494
373	8643	14466
374	8665	14442
375	8685	14413
376	8712	14397
377	8735	14373
378	8757	14349
379	8780	14326
380	8802	14300
381	8825	14277
382	8847	14253
383	8870	14230
384	8894	14207
385	8914	14180
386	8936	14155
387	8957	14128
388	8979	14103
389	9001	14078
390	9028	14062
391	9051	14039
392	9074	14015
393	9095	13989
394	9117	13965
395	9142	13944
396	9164	13920
397	9185	13893
398	9207	13868
399	9228	13842
400	9252	13820
401	9275	13797
402	9297	13772
403	9317	13746
404	9340	13722
405	9361	13695
406	9382	13670
407	9405	13647
408	9428	13624
409	9450	13600
410	9476	13580
411	9500	13558
412	9521	13533
413	9542	13507
414	9569	13489
415	9592	13466
416	9615	13442
417	9635	13416
418	9657	13391
419	9677	13364
420	9702	13344
421	9723	13317
422	9744	13292
423	9767	13269
424	9789	13244
425	9809	13217
426	9832	13194
427	9854	13170
428	9878	13147
429	9898	13120
430	9920	13096
431	9941	13071
432	9963	13046
433	9985	13022
434	10006	12997
435	10028	12972
436	10055	12955
437	10079	12933
438	10104	12912
439	10125	12886
440	10147	12862
441	10167	12835
442	10189	12811
443	10212	12788
444	10237	12767
445	10257	12741
446	10280	12718
447	10301	12692
448	10327	12673
449	10347	12646
450	10368	12622
451	10391	12598
452	10413	12574
453	10435	12550
454	10459	12528
455	10482	12505
456	10510	12488
457	10532	12464
458	10555	12441
459	10576	12416
460	10603	12397
461	10623	12371
462	10650	12352
463	10673	12329
464	10697	12308
465	10721	12285
466	10744	12262
467	10765	12237
468	10789	12216
469	10810	12190
470	10833	12167
471	10855	12142
472	10882	12124
473	10903	12099
474	10944	12097
475	10970	12076
476	10993	12053
477	11013	12027
478	11035	12003
479	11056	11977
480	11080	11956
481	11103	11932
482	11127	11910
483	11147	11884
484	11171	11862
485	11192	11836
486	11214	11813
487	11235	11787
488	11257	11764
